T,A
1.29E-02,-0.8977898
1.29E-02,-0.9005897
1.30E-02,-0.9029976
1.30E-02,-0.8982394
1.30E-02,-0.8845034
1.31E-02,-0.8648041
1.31E-02,-0.8450627
1.31E-02,-0.8407975
1.32E-02,-0.8542563
1.32E-02,-0.8781895
1.32E-02,-0.9128592
1.32E-02,-0.9547882
1.33E-02,-0.9997761
1.33E-02,-1.043557
1.33E-02,-1.091399
0.0133667,-1.141903
1.34E-02,-1.19184
1.34E-02,-1.222384
1.35E-02,-1.213185
1.35E-02,-1.178676
1.35E-02,-1.20053
0.0135498,-1.405671
1.36E-02,-1.868836
1.36E-02,-2.556423
1.36E-02,-3.329116
1.37E-02,-4.004159
1.37E-02,-4.432426
1.37E-02,-4.565546
1.38E-02,-4.490059
1.38E-02,-4.381296
1.38E-02,-4.382532
1.39E-02,-4.506735
0.0138855,-4.639213
1.39E-02,-4.621298
1.39E-02,-4.344167
1.40E-02,-3.797832
1.40E-02,-3.067054
1.40E-02,-2.2724
0.0140686,-1.492565
1.41E-02,-0.74666
1.41E-02,-4.07E-02
1.42E-02,0.6067967
1.42E-02,1.171744
1.42E-02,1.625091
1.43E-02,1.906419
1.43E-02,1.919214
1.43E-02,1.598961
1.43E-02,0.9724103
1.44E-02,0.140661
0.0144043,-0.7831739
1.44E-02,-1.711169
1.45E-02,-2.583877
1.45E-02,-3.355482
1.45E-02,-3.992514
1.46E-02,-4.466627
0.0145874,-4.774468
1.46E-02,-4.94268
1.46E-02,-4.991164
1.47E-02,-4.894725
1.47E-02,-4.595402
1.47E-02,-4.07849
1.48E-02,-3.414793
1.48E-02,-2.723355
1.48E-02,-2.096462
1.49E-02,-1.564905
1.49E-02,-1.110288
0.0149231,-0.6950697
1.50E-02,-0.3070166
1.50E-02,2.36E-02
1.50E-02,0.2382399
1.50E-02,0.2947069
1.51E-02,0.2123202
0.0151062,0.0532783
1.51E-02,-0.1223998
1.52E-02,-0.2872643
1.52E-02,-0.4535809
1.52E-02,-0.6534194
1.53E-02,-0.9187025
1.53E-02,-1.241534
1.53E-02,-1.577693
1.54E-02,-1.87482
1.54E-02,-2.110968
1.54E-02,-2.287383
1.54E-02,-2.408694
1.55E-02,-2.468943
1.55E-02,-2.463411
1.55E-02,-2.396423
1.56E-02,-2.284682
1.56E-02,-2.145185
0.015625,-1.985911
1.57E-02,-1.805798
1.57E-02,-1.597853
1.57E-02,-1.36476
1.57E-02,-1.128941
1.58E-02,-0.9425591
1.58E-02,-0.8536851
1.58E-02,-0.8697201
1.59E-02,-0.9599433
1.59E-02,-1.086788
1.59E-02,-1.223637
1.60E-02,-1.332056
1.60E-02,-1.367123
1.60E-02,-1.302971
1.61E-02,-1.140779
1.61E-02,-0.9050562
1.61E-02,-0.6336415
0.0161438,-0.378923
1.62E-02,-0.1971316
1.62E-02,-0.1145632
1.62E-02,-0.1241636
1.63E-02,-0.2079872
1.63E-02,-0.367469
0.0163269,-0.6114858
1.64E-02,-0.9423449
1.64E-02,-1.349026
1.64E-02,-1.802806
1.64E-02,-2.264162
1.65E-02,-2.682899
1.65E-02,-3.039524
1.65E-02,-3.332382
1.66E-02,-3.561462
1.66E-02,-3.704485
1.66E-02,-3.731956
0.0166626,-3.642611
1.67E-02,-3.465906
1.67E-02,-3.236757
1.68E-02,-2.985409
1.68E-02,-2.72346
1.68E-02,-2.464197
0.0168457,-2.221683
1.69E-02,-2.011118
1.69E-02,-1.843678
1.69E-02,-1.715984
1.70E-02,-1.609499
1.70E-02,-1.497126
1.70E-02,-1.362068
1.71E-02,-1.211037
1.71E-02,-1.068125
1.71E-02,-0.9582436
1.72E-02,-0.8907809
0.0171814,-0.8703239
1.72E-02,-0.8921241
1.72E-02,-0.9493551
1.73E-02,-1.03411
1.73E-02,-1.143431
1.73E-02,-1.274948
0.0173645,-1.416456
1.74E-02,-1.545802
1.74E-02,-1.651453
1.75E-02,-1.7346
