T,A
2.83E-02,-1.86269
2.83E-02,-1.988151
2.84E-02,-2.086049
2.84E-02,-2.151025
2.84E-02,-2.188538
2.84E-02,-2.196952
0.0284729,-2.167127
2.85E-02,-2.117538
2.85E-02,-2.047993
2.86E-02,-1.959643
2.86E-02,-1.854249
2.86E-02,-1.735518
2.87E-02,-1.657015
2.87E-02,-1.630411
2.87E-02,-1.625723
2.87E-02,-1.632821
2.88E-02,-1.630801
2.88E-02,-1.596126
2.88E-02,-1.521622
2.89E-02,-1.400069
2.89E-02,-1.217128
2.89E-02,-1.00928
2.90E-02,-0.7956334
0.0289917,-0.6369355
2.90E-02,-0.5395097
2.91E-02,-0.5104566
2.91E-02,-0.5449557
2.91E-02,-0.6339264
2.91E-02,-0.7960833
0.0291748,-1.00053
2.92E-02,-1.254296
2.92E-02,-1.522823
2.93E-02,-1.821513
2.93E-02,-2.100298
2.93E-02,-2.349281
2.94E-02,-2.537718
2.94E-02,-2.655819
2.94E-02,-2.699134
2.94E-02,-2.663284
2.95E-02,-2.554094
0.0295105,-2.391536
2.95E-02,-2.205844
2.96E-02,-2.010628
2.96E-02,-1.834113
2.96E-02,-1.660808
2.97E-02,-1.511518
0.0296936,-1.397166
2.97E-02,-1.331148
2.98E-02,-1.316205
2.98E-02,-1.32034
2.98E-02,-1.358943
2.98E-02,-1.425516
2.99E-02,-1.503808
2.99E-02,-1.583656
2.99E-02,-1.665057
3.00E-02,-1.759906
3.00E-02,-1.855412
0.0300293,-1.954259
3.01E-02,-2.053751
3.01E-02,-2.144793
3.01E-02,-2.221973
3.02E-02,-2.294363
3.02E-02,-2.32395
0.0302124,-2.301692
3.02E-02,-2.23322
3.03E-02,-2.133124
3.03E-02,-2.028709
3.03E-02,-1.916447
3.04E-02,-1.82352
3.04E-02,-1.772583
3.04E-02,-1.778903
3.05E-02,-1.819808
3.05E-02,-1.868715
3.05E-02,-1.919255
0.0305481,-1.966968
3.06E-02,-1.979147
3.06E-02,-1.988601
3.06E-02,-1.934424
3.07E-02,-1.842299
3.07E-02,-1.718674
0.0307312,-1.602574
3.08E-02,-1.483176
3.08E-02,-1.353227
3.08E-02,-1.218125
3.09E-02,-1.105169
3.09E-02,-1.048845
3.09E-02,-1.020744
3.09E-02,-1.020851
3.10E-02,-1.062702
3.10E-02,-1.149848
3.10E-02,-1.272158
3.11E-02,-1.398655
3.11E-02,-1.521148
3.11E-02,-1.65338
3.12E-02,-1.747962
3.12E-02,-1.815126
3.12E-02,-1.826745
0.03125,-1.799204
3.13E-02,-1.750001
3.13E-02,-1.682795
3.13E-02,-1.599405
3.14E-02,-1.523434
3.14E-02,-1.479458
3.14E-02,-1.472887
3.15E-02,-1.494344
3.15E-02,-1.536673
3.15E-02,-1.587978
3.16E-02,-1.630962
3.16E-02,-1.660216
3.16E-02,-1.654962
3.16E-02,-1.596066
3.17E-02,-1.513762
3.17E-02,-1.421661
3.17E-02,-1.32797
0.0317688,-1.232754
3.18E-02,-1.130463
3.18E-02,-1.044797
3.19E-02,-0.9684501
3.19E-02,-0.9059138
3.19E-02,-0.847142
0.0319519,-0.7976789
3.20E-02,-0.7936938
3.20E-02,-0.8314645
3.20E-02,-0.8773106
3.21E-02,-0.965695
3.21E-02,-1.038399
3.21E-02,-1.110844
3.22E-02,-1.16228
3.22E-02,-1.178174
3.22E-02,-1.163138
3.23E-02,-1.122748
0.0322876,-1.078798
3.23E-02,-1.037709
3.23E-02,-1.012106
