T,A
1.83E-02,4.28E-02
1.83E-02,0.0154005
1.84E-02,-1.46E-02
0.0184021,-4.27E-02
1.84E-02,-6.64E-02
1.85E-02,-8.11E-02
1.85E-02,-8.29E-02
1.85E-02,-7.51E-02
1.86E-02,-5.49E-02
1.86E-02,-0.0250864
1.86E-02,8.92E-03
1.86E-02,4.12E-02
1.87E-02,6.55E-02
1.87E-02,7.95E-02
1.87E-02,7.88E-02
1.88E-02,6.30E-02
1.88E-02,3.53E-02
1.88E-02,1.30E-03
1.89E-02,-3.23E-02
1.89E-02,-5.78E-02
0.0189209,-6.77E-02
1.90E-02,-5.71E-02
1.90E-02,-3.11E-02
1.90E-02,4.80E-03
1.90E-02,4.23E-02
1.91E-02,7.41E-02
0.019104,9.79E-02
1.91E-02,0.1122222
1.92E-02,0.1205029
1.92E-02,0.1188582
1.92E-02,0.1055902
1.93E-02,8.55E-02
1.93E-02,6.45E-02
1.93E-02,4.92E-02
1.93E-02,4.20E-02
1.94E-02,4.54E-02
1.94E-02,0.0618956
0.0194397,8.94E-02
1.95E-02,0.1185482
1.95E-02,0.1425865
1.95E-02,0.1572523
1.96E-02,0.1639135
1.96E-02,0.1627592
0.0196228,0.1533981
1.97E-02,0.1346467
1.97E-02,0.1118859
1.97E-02,8.77E-02
1.97E-02,6.62E-02
1.98E-02,4.76E-02
1.98E-02,3.37E-02
1.98E-02,2.68E-02
1.99E-02,3.07E-02
1.99E-02,4.29E-02
1.99E-02,6.18E-02
0.0199585,8.29E-02
2.00E-02,0.1052374
2.00E-02,0.1250024
2.01E-02,0.1394043
2.01E-02,0.1501053
2.01E-02,0.1575729
0.0201416,0.1616783
2.02E-02,0.160035
2.02E-02,0.1498354
2.02E-02,0.1346422
2.03E-02,0.1150945
2.03E-02,0.0986501
2.03E-02,8.71E-02
2.04E-02,8.40E-02
2.04E-02,8.97E-02
2.04E-02,0.1033437
2.04E-02,0.121719
2.05E-02,0.1412657
2.05E-02,0.1583337
2.05E-02,0.1703204
2.06E-02,0.1776359
2.06E-02,0.1786446
2.06E-02,0.1693199
0.0206604,0.1514439
2.07E-02,0.1265043
2.07E-02,9.93E-02
2.08E-02,7.55E-02
2.08E-02,6.08E-02
2.08E-02,5.71E-02
2.08E-02,6.48E-02
2.09E-02,8.12E-02
2.09E-02,0.1044967
2.09E-02,0.129988
2.10E-02,0.1532901
2.10E-02,0.1684881
2.10E-02,0.1730098
2.11E-02,0.166212
2.11E-02,0.1486285
2.11E-02,0.1210511
2.11E-02,0.0893199
0.0211792,5.55E-02
2.12E-02,2.67E-02
2.12E-02,9.57E-03
2.13E-02,7.56E-03
2.13E-02,0.0226823
2.13E-02,5.23E-02
0.0213623,9.30E-02
2.14E-02,0.1344416
2.14E-02,0.1705594
2.15E-02,0.1940988
2.15E-02,0.201019
2.15E-02,0.195179
2.15E-02,0.1746596
2.16E-02,0.1430248
2.16E-02,0.1040274
2.16E-02,6.18E-02
2.17E-02,3.04E-02
0.021698,1.45E-02
2.17E-02,1.82E-02
2.18E-02,3.99E-02
2.18E-02,7.45E-02
2.18E-02,0.1130344
2.19E-02,0.1456942
0.0218811,0.1654492
2.19E-02,0.1723032
2.19E-02,0.1676942
2.20E-02,0.1558795
2.20E-02,0.1428597
2.20E-02,0.1344365
2.21E-02,0.1287512
2.21E-02,0.1280093
2.21E-02,0.134532
2.22E-02,0.1480865
2.22E-02,0.1699204
0.0222168,0.2007441
2.22E-02,0.2366119
2.23E-02,0.2734516
2.23E-02,0.3032953
2.23E-02,0.3190356
2.24E-02,0.319352
0.0223999,0.3038583
2.24E-02,0.2787308
2.25E-02,0.2501443
2.25E-02,0.2247917
2.25E-02,0.2078523
2.26E-02,0.1986325
2.26E-02,0.1982561
2.26E-02,0.1988413
2.26E-02,0.200111
2.27E-02,0.2024751
2.27E-02,0.2024519
0.0227356,0.2018634
2.28E-02,0.2020388
2.28E-02,0.2011143
2.28E-02,0.1981317
2.29E-02,0.1945155
2.29E-02,0.1913354
0.0229187,0.1877511
2.29E-02,0.1875174
2.30E-02,0.18913
2.30E-02,0.193591
2.30E-02,0.1996111
2.31E-02,0.2023491
2.31E-02,0.2032022
2.31E-02,0.2018399
2.32E-02,0.1994123
2.32E-02,0.1984706
2.32E-02,0.1991024
2.33E-02,0.2032718
2.33E-02,0.207582
2.33E-02,0.2102015
2.33E-02,0.2096242
2.34E-02,0.2018151
2.34E-02,0.1901045
0.0234375,0.1753727
2.35E-02,0.1620375
2.35E-02,0.1521857
2.35E-02,0.1485242
2.36E-02,0.1506855
2.36E-02,0.1577691
2.36E-02,0.1687853
2.37E-02,0.1812517
2.37E-02,0.1964766
2.37E-02,0.2134913
2.37E-02,0.2295444
2.38E-02,0.2413121
2.38E-02,0.2405201
2.38E-02,0.2248674
2.39E-02,0.1983912
2.39E-02,0.1679413
2.39E-02,0.1391893
0.0239563,0.1178528
2.40E-02,0.1045988
2.40E-02,0.104487
2.40E-02,0.1151631
2.41E-02,0.1341722
2.41E-02,0.1562736
0.0241394,0.1770491
2.42E-02,0.1971583
2.42E-02,0.2099806
2.42E-02,0.2133838
2.43E-02,0.2069354
2.43E-02,0.1927061
2.43E-02,0.174211
2.44E-02,0.1574736
2.44E-02,0.1446711
2.44E-02,0.1374259
2.44E-02,0.1342736
0.0244751,0.1360273
2.45E-02,0.1417431
2.45E-02,0.1486029
2.46E-02,0.1561916
2.46E-02,0.161608
2.46E-02,0.1660177
0.0246582,0.1683398
2.47E-02,0.1661233
2.47E-02,0.1614096
2.47E-02,0.1532594
2.48E-02,0.1410258
2.48E-02,0.1264286
2.48E-02,0.1125413
2.49E-02,0.1059384
2.49E-02,0.1091642
2.49E-02,0.121994
2.50E-02,0.1405571
0.0249939,0.1640598
2.50E-02,0.1872248
2.51E-02,0.2097934
2.51E-02,0.2304091
2.51E-02,0.2460863
2.51E-02,0.2549002
0.025177,0.2551143
2.52E-02,0.2445695
2.52E-02,0.2277042
2.53E-02,0.207877
2.53E-02,0.1927406
2.53E-02,0.1814279
2.54E-02,0.1777589
2.54E-02,0.1820184
2.54E-02,0.1925677
2.55E-02,0.2065368
2.55E-02,0.2200407
0.0255127,0.2312802
2.55E-02,0.2390709
2.56E-02,0.2409654
2.56E-02,0.23849
2.56E-02,0.2304204
2.57E-02,0.2166952
0.0256958,0.1992826
2.57E-02,0.1815342
2.58E-02,0.1692798
2.58E-02,0.1617266
2.58E-02,0.1572905
2.58E-02,0.1580688
2.59E-02,0.1617895
2.59E-02,0.1635924
2.59E-02,0.1584319
2.60E-02,0.1466012
2.60E-02,0.1315362
2.60E-02,0.1153053
2.61E-02,0.1000327
2.61E-02,8.87E-02
2.61E-02,8.40E-02
2.62E-02,8.71E-02
2.62E-02,9.05E-02
0.0262146,9.78E-02
2.62E-02,0.1071769
2.63E-02,0.1187181
2.63E-02,0.1321508
2.63E-02,0.143823
2.64E-02,0.1526407
2.64E-02,0.1569484
2.64E-02,0.1558119
2.65E-02,0.1524348
2.65E-02,0.1462281
2.65E-02,0.1379164
2.66E-02,0.1293822
2.66E-02,0.1216333
2.66E-02,0.1197486
2.66E-02,0.119547
2.67E-02,0.1190709
2.67E-02,0.1167951
0.0267334,0.113472
2.68E-02,0.1082654
2.68E-02,0.1012869
2.68E-02,9.52E-02
2.69E-02,8.75E-02
2.69E-02,8.03E-02
0.0269165,7.64E-02
2.69E-02,7.45E-02
2.70E-02,7.44E-02
2.70E-02,7.67E-02
2.70E-02,7.91E-02
2.71E-02,8.19E-02
2.71E-02,8.21E-02
2.71E-02,7.97E-02
2.72E-02,7.73E-02
2.72E-02,7.67E-02
2.72E-02,0.0822625
0.0272522,9.11E-02
